cnpj;ano;sequencial
15126437000305;2026;139
15126437000305;2026;1473
15126437000305;2026;1516
15126437000305;2026;1673
15126437000305;2026;1675
15126437000305;2026;1705
15126437000305;2026;1817
15126437000305;2026;1939
15126437000305;2026;1967
15126437000305;2026;2165
15126437000305;2026;2211
15126437000305;2026;2215
15126437000305;2026;2255
15126437000305;2026;2256
15126437000305;2026;2541
15126437000305;2026;2685
15126437000305;2026;2686
15126437000305;2026;2687
15126437000305;2026;2688
15126437000305;2026;2689
15126437000305;2026;2690
15126437000305;2026;2694
15126437000305;2026;2695
15126437000305;2026;697
15126437000305;2026;729
15131560000152;2026;58
15180714000104;2026;47
15496101000172;2026;186
15679277000160;2026;12
16673858000157;2026;21
16958425000148;2026;262
16958425000148;2026;71
17217985000104;2026;154
17481268000195;2026;70
18132449000179;2025;197
18243287000146;2026;31
18291351000164;2026;122
18302307000102;2026;9
18313015000175;2026;26
18366963000179;2026;66
18431312000620;2026;224
18431312000620;2026;275
18715383000140;2025;1003
18715383000140;2026;371
19130038000107;2026;36
19406627000175;2026;3
19421427000191;2026;82
20260121000180;2026;1
20260121000180;2026;46
20622890000180;2025;251
20622890000180;2026;44
20622890000180;2026;46
21040001000130;2026;105
21040001000130;2026;108
21040001000130;2026;112
21040001000130;2026;124
21040001000130;2026;125
21186804000105;2026;38
22678874000135;2026;183
22911207000150;2026;146
23539463000121;2026;31
24082016000159;2026;399
24082016000159;2026;400
24082016000159;2026;401
24082016000159;2026;402
24082016000159;2026;403
24082016000159;2026;404
24082016000159;2026;405
24082016000159;2026;406
24082016000159;2026;407
24082016000159;2026;408
24082016000159;2026;409
24082016000159;2026;410
24098477000110;2026;87
24365710000183;2026;132
24464109000148;2024;150
24464109000148;2026;67
24464109000148;2026;68
24464109000148;2026;69
24529265000140;2026;42
24779565000187;2026;34
25053190000136;2026;198
25053190000136;2026;241
25053190000136;2026;242
25141524000123;2026;79
25648387000118;2026;117
25648387000118;2026;118
25648387000118;2026;82
25944455000196;2026;51
26461699000180;2026;144
26461699000180;2026;44
26474056000171;2026;113
26474056000171;2026;164
26989350000116;2026;59
26989715000102;2026;1044
26989715000102;2026;1045
26989715000102;2026;1047
26989715000102;2026;1048
26989715000102;2026;1049
26989715000102;2026;1050
26989715000102;2026;1052
26989715000102;2026;1053
26989715000102;2026;238
26989715000102;2026;825
26989715000102;2026;915
28305936000140;2026;102
28305936000140;2026;176
28305936000140;2026;216
28521748000159;2026;176
28521748000159;2026;180
28521748000159;2026;63
28523215000106;2026;184
28523215000106;2026;185
28523215000106;2026;186
28538734000148;2026;160
28543098000142;2026;26
28543098000142;2026;27
28606630000123;2025;201
28606630000123;2026;42
28645794000160;2026;56
28732006000172;2026;2
28909604000174;2026;71
28920304000196;2026;8
29112760000172;2026;225
29112760000172;2026;226
29112760000172;2026;227
29114139000148;2026;2
29115474000160;2025;210
29115474000160;2026;336
29131075000193;2026;327
29131075000193;2026;329
29131075000193;2026;8
29172467000109;2026;120
29172467000109;2026;464
30051023000196;2026;134
30051023000196;2026;135
30051023000196;2026;136
30467039000184;2026;29
30597686000100;2026;10
32538167000105;2025;16
32553034000108;2026;12
32865193000130;2026;18
33345109000110;2026;37
33345109000110;2026;46
33663683000116;2026;160
33663683000116;2026;232
33781055000135;2026;1023
33781055000135;2026;1115
33781055000135;2026;1163
33781055000135;2026;1164
33781055000135;2026;1165
33781055000135;2026;1166
33781055000135;2026;1167
33781055000135;2026;1168
33781055000135;2026;505
33787094000140;2026;264
34023077000107;2026;36
34040345000190;2026;16
34164319000174;2026;114
34927343000118;2026;33
34927343000118;2026;35
35840659000130;2025;72
37115342000167;2026;50
37115490000181;2026;9
37115524000138;2026;18
37318510000111;2026;24
37753638000103;2026;41
37753638000103;2026;67
39223581000166;2025;38
39467292000102;2026;47
39467292000102;2026;51
39485396000140;2026;6
40514168000130;2026;9
42354068000119;2026;46
42354068000119;2026;60
42414284000102;2026;144
42414284000102;2026;145
42414284000102;2026;146
42498600000171;2024;5541
42498600000171;2024;5744
42498675000152;2026;1
42498733000148;2026;1438
42498733000148;2026;699
42572269000192;2026;8
43052497000102;2026;282
43052497000102;2026;340
43728245000142;2026;177
43776491000170;2025;557
43828151000145;2026;59
43828151000145;2026;60
44413680000140;2026;51
44959021000104;2026;205
44959021000104;2026;223
45318466000178;2026;177
45332095000189;2026;108
45368545000193;2026;34
46068425000133;2026;1156
46068425000133;2026;1376
46068425000133;2026;1378
46068425000133;2026;1379
46068425000133;2026;1380
46068425000133;2026;1381
46068425000133;2026;1382
46068425000133;2026;1383
46068425000133;2026;1385
46068425000133;2026;1386
46068425000133;2026;1387
46068425000133;2026;1388
46068425000133;2026;512
46068425000133;2026;528
46068425000133;2026;867
46137410000180;2026;371
46137410000180;2026;372
46139952000191;2026;83
46139952000191;2026;84
46177531000155;2025;532
46374500000194;2026;2430
46374500000194;2026;3340
46374500000194;2026;3562
46374500000194;2026;3688
46374500000194;2026;3713
46374500000194;2026;4162
46374500000194;2026;4203
46374500000194;2026;4218
46374500000194;2026;4224
46374500000194;2026;4270
46374500000194;2026;4273
46374500000194;2026;4392
46374500000194;2026;4393
46374500000194;2026;4394
46374500000194;2026;4395
46374500000194;2026;4412
46374500000194;2026;4429
46374500000194;2026;4434
46374500000194;2026;4440
46374500000194;2026;4448
46374500000194;2026;4481
46374500000194;2026;4484
46374500000194;2026;4485
46374500000194;2026;4488
46374500000194;2026;4489
46374500000194;2026;4491
46374500000194;2026;4520
46374500000194;2026;4523
46374500000194;2026;4571
46374500000194;2026;4575
46374500000194;2026;4578
46374500000194;2026;4579
46374500000194;2026;4580
46374500000194;2026;4613
46374500000194;2026;4652
46374500000194;2026;4665
46374500000194;2026;4696
46374500000194;2026;4707
46374500000194;2026;4740
46374500000194;2026;4744
46374500000194;2026;4772
46374500000194;2026;4817
46374500000194;2026;4818
46374500000194;2026;4819
46374500000194;2026;4821
46374500000194;2026;4837
46374500000194;2026;4840
46374500000194;2026;4908
46374500000194;2026;4948
46374500000194;2026;4967
46374500000194;2026;4991
46374500000194;2026;5002
46374500000194;2026;5019
46374500000194;2026;5020
46374500000194;2026;5095
46374500000194;2026;5107
46374500000194;2026;5123
46374500000194;2026;5302
46374500000194;2026;5675
46374500000194;2026;5686
46374500000194;2026;5688
46374500000194;2026;5689
